date,time,runner
19 Apr 1910,2:28:52,Fred Cameron (NS/CAN)
19 Apr 1909,2:53:37,Henri Renaud (USA)
20 Apr 1908,2:25:44,Thomas Morrissey (NY/USA)
19 Apr 1907,2:24:24,Tom Longboat (CAN)
19 Apr 1906,2:45:45,Tim Ford (MA/USA)
19 Apr 1905,2:38:26,Fred Lorz (USA)
19 Apr 1904,2:38:05,Mike Spring (USA)
20 Apr 1903,2:41:30,John C Lorden (USA)
19 Apr 1902,2:43:16u,Sammy A Mellor Jr (USA)
19 Apr 1901,2:29:24,Jack P Caffery-2
19 Apr 1900,2:39:45,Jack P Caffery (CAN)
19 Apr 1899,2:54:38,Lawrence Brignoli (MA/USA)
19 Apr 1898,2:42:,Ron J MacDonald (CAN)
19 Apr 1897,2:55:10,John J McDermott (USA)
